year,date,category,country,city,event,line
"1967","21 декабря","ussr","СССР","Киев","departure","В 2Q!liЛ.И. с Киевского вокзала nоездом выехал в г. Киев."
"1967","30 декабря","ussr","СССР","Завидово","stay","Л.И.- находился в «Завидово»."
"1968","13 января. суббота -","foreign","Польша","Варшава","stay","Л.И. в командировке (в Варшаве)."
"1968","15 января","foreign","ГДР","Берлин","departure","Л.И. в JJ2!! самолетом отбыл из Варшавы в J2J3 прибыл в Берлин."
"1968","29 января","ussr","СССР","Завидово","departure","В 122Q Л.И. вместе с т. А. Дубчеком выехал в Завидово, где в течение дня продолжались переговоры."
"1968","14 февраля","ussr","СССР","Ленинград","departure","В !!1!! отбыл в г. Ленинград на областную п[ арт ]конференцию."
"1968","18 февраля. воскресенье","ussr","СССР","Завидово","stay","В 12iillЛ.И. выезжал в «Завидово», возвратился в 2300."
"1968","23 февраля","foreign","Чехословакия","Прага","departure","В 1213 Л.И. во главе делегации спецсамолетом отбыл из Праги, в 1500 прибыли в Москву аэроnорт Внуково-2."
"1968","24 февраля. суббота- выходной день","ussr","СССР","Завидово","departure","В J2З.О Л. И. с тт. Н.В. Подгорным, А. Н. Косыгиным и др. выехал в Завидово."
"1968","6 марта","foreign","Болгария","София","departure","Л.И. во главе делегации в goo прибыл в Софию."
"1968","12 марта","ussr","СССР","Завидово","departure","В J2®Л.И. выехал в Завидово."
"1968","16 марта. суббота -","ussr","СССР","Завидово","departure","В 11 10 Л.И. с т. Пономаревым Б.Н. выехал в Завидово."
"1968","22 марта","foreign","ГДР","Дрезден","departure","Русакова К. В. и др., вылетел спецсамолетом в Дрезден ( ГДР)."
"1968","2 апреля","ussr","СССР","Завидово","departure","В 12;ш Л.И. с группой т[ овари]щей уехал в командировку (будет работать в Завидово над материалами предстоящего Пленума ЦК КПСС)."
"1968","11 мая. выходной день","ussr","СССР","Заречье","stay","Л.И. находился на даче в «Заречье>>."
"1968","12 июля","foreign","Польша","Варшава","departure","В 16Ы Л.И. уехал в командировку в Варшаву."
"1968","20 июля. суббота","ussr","СССР","Заречье","stay","Л.И. находился на даче в Заречье."
"1968","31 июля","foreign","Чехословакия",None,"stay","Л.И. во главе делегации ЦК КПСС находился в ЧССР В Чиерне-над-Тиссой продолжалась встреча Политбюро ЦК КПСС с Президиумом ЦК КПЧ."
"1968","8 августа","ussr","СССР","Ялта","stay","Л.И. находился на отдыхе в Ялте."
